ad;55;30;27
ae;23;35;67
af;83;120;139
ag;89;94;95
al;83;42;42
am;62;81;102
ao;30;42;41
ar;47;53;62
at;138;52;78
au;31;47;86
az;49;82;64
ba;39;41;50
bb;42;73;118
bd;65;95;105
be;110;69;71
bf;89;106;60
bg;121;68;73
bh;162;38;50
bi;72;67;73
bj;77;106;170
bn;164;42;41
bo;98;32;25
br;41;49;56
bs;37;45;63
bt;60;67;75
bw;34;50;78
by;38;64;102
bz;59;83;113
ca;100;118;137
cd;36;42;54
cf;77;78;73
cg;42;46;47
ch;211;71;63
ci;37;59;31
cl;89;15;20
cm;92;99;107
cn;118;54;51
co;102;41;40
cr;34;42;47
cu;50;65;103
cv;53;57;71
cy;149;52;90
cz;109;82;118
de;109;41;54
dj;42;76;139
dk;98;42;58
dm;44;40;35
do;57;61;67
dz;72;81;79
ec;96;60;53
ee;149;46;62
eg;77;92;98
er;55;58;74
es;140;32;68
et;112;56;85
fi;128;34;63
fj;38;152;184
fm;33;40;52
fr;95;33;46
ga;78;106;97
gd;64;58;51
ge;124;54;46
gh;62;78;63
gm;126;141;125
gn;27;124;65
gq;142;84;80
gr;115;38;46
gt;76;85;83
gw;83;101;89
gy;54;57;72
hk;55;50;82
hn;70;75;89
hr;72;69;71
ht;41;42;56
hu;140;38;63
id;55;109;103
ie;107;43;54
il;61;61;68
in;59;65;74
iq;117;120;138
ir;72;41;44
is;63;67;95
it;153;94;110
jm;88;96;98
jo;78;90;115
jp;117;14;21
ke;87;132;175
kg;47;120;141
kh;107;59;61
ki;31;33;48
km;74;64;50
kn;67;87;107
kp;38;42;76
kr;47;64;51
kw;50;66;119
kz;23;127;152
la;30;45;88
lb;72;70;82
lc;50;60;68
li;78;84;95
lk;118;61;69
lr;66;79;77
ls;75;85;87
lt;113;31;32
lu;69;36;34
lv;170;52;44
ly;47;47;101
ma;101;105;94
mc;108;49;41
md;103;44;56
me;109;40;46
mg;34;33;29
mh;47;54;75
mk;159;103;112
ml;53;74;69
mm;172;56;60
mn;135;48;56
mo;90;110;97
mr;33;70;34
mt;96;54;54
mu;44;40;52
mv;44;48;79
mw;59;59;59
mx;67;75;68
my;170;47;44
mz;52;46;61
na;58;70;61
ne;53;58;58
ng;35;64;46
ni;38;47;80
nl;100;43;54
no;162;57;55
np;73;92;76
nr;59;56;58
nz;59;56;52
om;149;73;67
pa;51;52;102
pe;131;36;51
pg;51;50;72
ph;96;55;63
pk;45;96;67
pl;112;61;53
ps;70;64;56
pt;114;49;54
pw;75;80;83
py;46;53;66
qa;101;80;72
rk;120;58;101
ro;117;78;97
rs;147;37;42
ru;142;68;71
rw;45;43;59
sa;57;128;91
sb;60;130;130
sc;142;91;84
sd;66;69;75
se;128;58;68
sg;213;65;53
si;91;35;44
sk;102;32;60
sl;50;107;78
sm;31;68;112
sn;80;59;56
so;43;50;93
sr;90;128;145
ss;14;28;70
st;28;42;99
sv;42;43;56
sy;52;50;51
sz;62;65;107
td;124;150;124
tg;114;153;156
th;88;50;55
tj;75;63;53
tl;67;47;49
tm;45;94;28
tn;63;90;90
to;92;135;130
tr;74;47;46
tt;56;54;34
tv;39;160;228
tw;48;94;83
tz;21;76;166
ua;72;86;109
ug;45;51;41
uk;117;57;52
us;46;48;66
uy;39;43;74
uz;47;84;57
va;29;77;66
vc;53;55;59
ve;38;36;42
vn;45;50;40
vu;61;146;79
ws;86;96;109
ye;38;37;56
za;49;67;43
zm;94;88;76
zw;79;85;54
